"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","inscr_type4","inscr_type5","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"20","EDCS-12100636","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"annos 3]VIII m(enses) [3] / [3 di]es VIII fec[it(?) 3] / [3] matr[i","annos VIII menses dies VIII fecit matri",NA,"40.120875","9.012893","lapis"
"21","EDCS-12100640","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"Crescen[s]","Crescens",NA,"40.120875","9.012893",NA
"22","EDCS-12100641","Sardinia","?",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"[Bon(a)e] mmori(a)e Felix qui / [vixit] plus minus annos / [3 D]ecembres requeit / [","Bonae mmoriae Felix qui vixit plus minus annos Decembres requeit",NA,"40.120875","9.012893",NA
"23","EDCS-12100642","Sardinia","?",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"Hic iacet / bon(a)e memo/ri(a)e Iannar/ius qui ixit / plus minus / annos LXV re/quieit / in pace","Hic iacet bonae memoriae Iannarius qui ixit plus minus annos LXV requieit in pace",NA,"40.120875","9.012893",NA
"24","EDCS-12100643","Sardinia","?",401,600,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"Hic (iac)et bon[(a)e memori(a)]/e Iohanna c(asta) v(irgo) [quae vi]/xit annis pl[us minus] / XXXV requi[evit] / d(ie) septimu(m) Id(u)s [","Hic iacet bonae memoriae Iohanna casta virgo quae vixit annis plus minus XXXV requievit die septimum Idus",NA,"40.120875","9.012893",NA
"25","EDCS-12100644","Sardinia","?",301,500,"tituli sepulcrales",NA,NA,NA,NA,"B(onae) m(emoriae) / Luxuria [3 plus] / minus XXX[3 Id]/us Ianuarias","Bonae memoriae Luxuria plus minus XXX Idus Ianuarias",NA,"40.120875","9.012893",NA
"26","EDCS-12100645","Sardinia","?",401,500,"carmina","tituli sepulcrales",NA,NA,NA,"]o semper venerand[us(?) 3] / [3]oca plebs mansi[t 3] / [3]ra tegit anima [3] // [3] b(onae) m(emoriae) Leont[3] / [3]LX d(ie) XI K[al(endas)","o semper venerandus oca plebs mansit ra tegit anima bonae memoriae Leont LX die XI Kalendas",NA,"40.120875","9.012893",NA
"27","EDCS-12100647","Sardinia","?",401,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"Hic iacet b(o)n(ae) m(emoriae) / Sabbatius qui vi/xit ann(os) XXXV req(uievit) / in pace sub d(ie) XII / K(alendas) Februarias","Hic iacet bonae memoriae Sabbatius qui vixit annos XXXV requievit in pace sub die XII Kalendas Februarias",NA,"40.120875","9.012893","lapis"
"28","EDCS-12100648","Sardinia","?",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"qu]i vixit / [ann(os) plus min]us LXXV re/[quievit 3 K]ale(ndas) Decemb(res) / [3 vi]xit ann(os) pl(us) m/[inus 3 pr]id(ie) Kal(endas) / [3]b","qui vixit annos plus minus LXXV requievit Kalendas Decembres vixit annos plus minus pridie Kalendas b",NA,"40.120875","9.012893",NA
"29","EDCS-12100649","Sardinia","?",401,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"B(onae)] m(emoriae) Isportel/[l]a qui(!) ixit [an]/[no]s pl(us) m(i)n(us) VII[3 requi]/[e]vit in pa(ce) s(ub) d(ie) X[","Bonae memoriae Isportella qui ixit annos plus minus VII requievit in pace sub die X",NA,"40.120875","9.012893",NA
"30","EDCS-12100650","Sardinia","?",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"S(anc)t(ae) b(onae) m(emoriae) / [3]roni / [","Sanctae bonae memoriae roni",NA,"40.120875","9.012893",NA
"31","EDCS-58700040","Sardinia","?",337,348,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"Nat(us) Kal(endis) April(ibus) // ba(p)t(izatus) IIII Non(as) April(es) // Theusebio virgini neofto innocenti / hic mihi caro hic pio hic igitur filius(!) ecce sepulto / Theusebi sanctifico semper sociato pudori(!) / bis senos menses deo qui pertulit annum / ter denos dies super ista luce moratus est // imaculatus a pecc(at)o felici conditus dono est / natali completus et item a Chr(is)to renatus / aeternam vitae penetravit Theusebius sedem / virginemq(ue) gerit dom(ino) tribuente corona(m) / Rufinus et Severa parentes filio dulcissimo // bene merenti fecerunt in dom(ino) // qu(i)esas in pace dep(ositus) VI Non(as) Mai(as) // Hic prior mihi filius hic virgo virginem prior dedicavi(t) hunc locum","Natus Kalendis Aprilibus baptizatus IIII Nonas Apriles Theusebio virgini neofto innocenti hic mihi caro hic pio hic igitur filius ecce sepulto Theusebi sanctifico semper sociato pudori bis senos menses deo qui pertulit annum ter denos dies super ista luce moratus est imaculatus a peccato felici conditus dono est natali completus et item a Christo renatus aeternam vitae penetravit Theusebius sedem virginem que gerit domino tribuente coronam Rufinus et Severa parentes filio dulcissimo bene merenti fecerunt in domino quiesas in pace depositus VI Nonas Maias Hic prior mihi filius hic virgo virginem prior dedicavit hunc locum",NA,"40.120875","9.012893",NA
"32","EDCS-00380333","Sardinia","?",351,450,"tituli sepulcrales",NA,NA,NA,NA,"]o Iudaeus / vix(it) an(n)is VIII","o Iudaeus vixit annis VIII",NA,"40.120875","9.012893",NA
"33","EDCS-70400042","Sardinia","?",401,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"Hic iacet [3] / LXX requiev[it","Hic iacet LXX requievit",NA,"40.120875","9.012893",NA
"34","EDCS-70400043","Sardinia","?",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"] qui vixit [3] / [3] in pac[e","qui vixit in pace",NA,"40.120875","9.012893",NA
"35","EDCS-70500028","Sardinia","?",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"] plus m(inus) LXXX requi[evit","plus minus LXXX requievit",NA,"40.120875","9.012893",NA
"36","EDCS-70500151","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"a]nnis V[3] / [3] dieb(us) III h[oris(?)","annis V diebus III horis",NA,"40.120875","9.012893",NA
"37","EDCS-70500152","Sardinia","?",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"] vix(it) [3] / [3] mens(es) [3] / [3] mater [3] / [3]o [","vixit menses mater o",NA,"40.120875","9.012893",NA
"38","EDCS-70800186","Sardinia","?",151,200,"tituli sepulcrales",NA,NA,NA,NA,"[3]us c[3]","us c",NA,"40.120875","9.012893","lapis"
"39","EDCS-04900461","Sardinia","Aidumajore / Aidomaggiore",1,100,"tituli sepulcrales",NA,NA,NA,NA,"Qdabinel / Dom(inus) fec(it)","Qdabinel Dominus fecit",NA,"40.170753","8.856527",NA
"40","EDCS-04900462","Sardinia","Aidumajore / Aidomaggiore",1,100,"tituli sepulcrales",NA,NA,NA,NA,"Urseti Nercauni","Urseti Nercauni",NA,"40.170753","8.856527",NA
"41","EDCS-64901013","Sardinia","Aidumajore / Aidomaggiore",1,100,"tituli sepulcrales",NA,NA,NA,NA,"(A)ecle Kris[3]","Aecle Kris",NA,"40.170753","8.856527",NA
"42","EDCS-14100377","Sardinia","Aldara / Ardara",401,600,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"an]/nos p(lus) m(inus) XLV / requieit in / [p]ace V Kalen/das Iunias / per ind(ictionem) oc/taa(m)","annos plus minus XLV requieit in pace V Kalendas Iunias per indictionem octaam",NA,"40.621761","8.810319",NA
"43","EDCS-33600037","Sardinia","Aldara / Ardara",1,74,"tituli sepulcrales",NA,NA,NA,NA,"Orcoeta / [B]ihonis(?) f(ilius) / Con(venus) mil(es) ex / [coh]or(te) Aq/[ui]t(anorum) anno(rum) / [1]XXI H M / [","Orcoeta Bihonis filius Convenus miles ex cohorte Aquitanorum annorum XXI H M",NA,"40.621761","8.810319",NA
"44","EDCS-55702048","Sardinia","Aldara / Ardara",1,100,"tituli sepulcrales",NA,NA,NA,NA,"Sedecami / [A]ronis(?) f(ilii) vixit an(nos) / [1]XXIIX H()","Sedecami Aronis filii vixit annos XXIIX H",NA,"40.621761","8.810319",NA
"45","EDCS-72800073","Sardinia","Alghero",101,200,"tituli sepulcrales",NA,NA,NA,NA,"Ca]ecil[i 3] / [3] Agat[","Caecili Agat",NA,"40.5600205","8.3151473",NA
"46","EDCS-03700340","Sardinia","Allai",71,150,"tituli sepulcrales",NA,NA,NA,NA,"D(is) [M(anibus)] // Asellus [3] / [1]OSVO[3] / OTVO[","Dis Manibus Asellus OSVO OTVO",NA,"39.957173","8.8630765",NA
"47","EDCS-03700341","Sardinia","Allai",71,150,"tituli operum","tituli sepulcrales",NA,NA,NA,"D(is) M(anibus) // M(arco) M() Baleriano(!) / i{c}xit an(n)os / XXXXIIII fecit / eo co(n)iugi / bene mer/enti fecit(!) / titulum","Dis Manibus Marco M Baleriano ixit annos XXXXIIII fecit eo coniugi bene merenti fecit titulum",NA,"39.957173","8.8630765",NA
"48","EDCS-03700342","Sardinia","Allai",71,150,"tituli operum","tituli sepulcrales",NA,NA,NA,"D(is) M(anibus) // Gocaras Nercaunis / annoru(m) XXXV d(iei) I / feci[t] tumu/[l]u(m) co(n)iux / cara","Dis Manibus Gocaras Nercaunis annorum XXXV diei I fecit tumulum coniux cara",NA,"39.957173","8.8630765","lapis"
"49","EDCS-03700343","Sardinia","Allai",71,150,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Iul(iae) Helpidi / quae v(ixit) a(nnos) LXXXXI / C(aius) Iul(ius) Agathan/gelus patro(nus) / b(ene) m(erenti) f(ecit)","Dis Manibus Iuliae Helpidi quae vixit annos LXXXXI Caius Iulius Agathangelus patronus bene merenti fecit",NA,"39.957173","8.8630765","lapis"
"50","EDCS-22500082","Sardinia","Aristanis / Oristano / Othoca",51,250,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Aemiliaes(!) / Hermes con/iugi b(ene) m(erenti) et / fili(i) fecer(unt)","Dis Manibus Aemiliaes Hermes coniugi bene merenti et filii fecerunt",NA,"39.9059497","8.5916112",NA
"51","EDCS-22500083","Sardinia","Aristanis / Oristano / Othoca",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"]R / [3] Cresc(ens?) et [","R Crescens et",NA,"39.9059497","8.5916112",NA
"52","EDCS-22500084","Sardinia","Aristanis / Oristano / Othoca",1,30,"tituli sepulcrales",NA,NA,NA,NA,"Q(uintus) Plautius / Q(uinti) P(ubli) Ti(beri) l(ibertus) Elenchus / Nigellae lib(ertae) / piissimae","Quintus Plautius Quinti Publi Tiberi libertus Elenchus Nigellae libertae piissimae",NA,"39.9059497","8.5916112",NA
"53","EDCS-22500085","Sardinia","Aristanis / Oristano / Othoca",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"]A[3] / L(ucius) Sex[3] / con[iugi(?) 3] / b(ene) [m(erenti)]","A Lucius Sex coniugi bene merenti",NA,"39.9059497","8.5916112",NA
"54","EDCS-22500086","Sardinia","Aristanis / Oristano / Othoca",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"]sima[e 3] / [3] ann(os) XVIII m(enses) [3] / [3 dul]cissim[","simae annos XVIII menses dulcissim",NA,"39.9059497","8.5916112",NA
"55","EDCS-22500087","Sardinia","Aristanis / Oristano / Othoca",71,300,"tituli sepulcrales",NA,NA,NA,NA,"c]oniu[gi 3] / [3]M [","coniugi M",NA,"39.9059497","8.5916112","lapis"
"56","EDCS-22500088","Sardinia","Aristanis / Oristano / Othoca",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"] m(enses) X[3] / [be]ne m[er(enti)]","menses X bene merenti",NA,"39.9059497","8.5916112",NA
"57","EDCS-56500038","Sardinia","Aristanis / Oristano / Othoca",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"] / [vi]xi[t 3] / fili[3] / sibi [","vixit fili sibi",NA,"39.9059497","8.5916112",NA
"58","EDCS-23900192","Sardinia","Arriora / Riola Sardo",-27,14,"tituli sepulcrales",NA,NA,NA,NA,"Q(uintus) Rusti/celius [","Quintus Rusticelius",NA,"39.9941018","8.5386732","lapis"
"59","EDCS-64000173","Sardinia","Arruinas / Ruinas / Valentia",1,68,"tituli sepulcrales",NA,NA,NA,NA,"] / Vel[3] / Om[3]/tnia Bu[3] / eques ex coh/orte Liguru/[m an]norum / [3 st]ipen/[diorum","Vel Om tnia Bu eques ex cohorte Ligurum annorum stipendiorum",NA,"39.907148","8.897631",NA
"60","EDCS-22400048","Sardinia","Assemini",101,200,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Faustilla / vixit ann(os) / LX Licinius / Caen(i) serv(us) / coniugi b(ene) / m(erenti) f(ecit)","Dis Manibus Faustilla vixit annos LX Licinius Caeni servus coniugi bene merenti fecit",NA,"39.291538","9.001542",NA
"61","EDCS-22400049","Sardinia","Assemini",171,250,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Lic(inia) Iulia / vix(it) a(nnos) XXXV / Ael(ius) Font(eius) / c(oniugi) b(ene) m(erenti) f(ecit)","Dis Manibus Licinia Iulia vixit annos XXXV Aelius Fonteius coniugi bene merenti fecit",NA,"39.291538","9.001542",NA
"62","EDCS-22400050","Sardinia","Assemini",151,250,"tituli operum","tituli sepulcrales",NA,NA,NA,"D(is) M(anibus) / Quinto / Mecio U/rbano t/umul(u)m / [3 mere(n)ti // D(is) M(anibus) / V[3]ALLP[3] / TV[3]MNE / m(aritus) f(ecit) en[ e m]/er[en]t[i 3] // D(is) M(anibus) / Vale(riae) Opta/(t)a[t]a[e // D(is) M(anibus) / L(uci) Vale[r]i / Val[en]tin[i] / vix(it) an(nos) LXXX / fecit filia / ene m[e]/re(n)[ti]","Dis Manibus Quinto Mecio Urbano tumulum merenti Dis Manibus V ALLP TV MNE maritus fecit en e merenti Dis Manibus Valeriae Optatatae Dis Manibus Luci Valeri Valentini vixit annos LXXX fecit filia ene merenti",NA,"39.291538","9.001542",NA
"63","EDCS-12100450","Sardinia","Assemini",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"D(is) o(mnibus) M(anibus) / [3]V S CESNOS / [3]S E EGIT / [3]ARER","Dis omnibus Manibus V S CESNOS S E EGIT ARER",NA,"39.291538","9.001542",NA
"64","EDCS-05200297","Sardinia","Asuni",101,150,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) Iulio Potito / |(centurioni) coh(ortis) praet(oriae) Sard(orum) / militavit ann(os) [X]IV vixit an(nos) XXXV / [3]AV[3]S","Dis Manibus Iulio Potito centurioni cohortis praetoriae Sardorum militavit annos XIV vixit annos XXXV AV S",NA,"39.872448","8.946433",NA
"65","EDCS-09200307","Sardinia","Austis / Vicus Augusti",1,100,"tituli sepulcrales",NA,NA,NA,NA,"Iucunda Catu/roni l(iberta) annor/um L h(ic) s(ita) e(st) pos/[u]erunt filias(!) / Iulia et Spana / Gratus l(ibertus)","Iucunda Caturoni liberta annorum L hic sita est posuerunt filias Iulia et Spana Gratus libertus",NA,"40.070653","9.087933","lapis"
"66","EDCS-22500062","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"Ubasus Chi/lonis f(ilius) Nicli/nus tubicn ex coho(rte) Lusi/tan(orum) an(norum) L / stip(endiorum) XXXI h(ic) s(itus) / est posuer(unt) (h)erede[s] / Faustus Aedi(li) / et l(ibertus) Optatus","Ubasus Chilonis filius Niclinus tubicn ex cohorte Lusitanorum annorum L stipendiorum XXXI hic situs est posuerunt heredes Faustus Aedili et libertus Optatus",NA,"40.070653","9.087933",NA
"67","EDCS-22500063","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"Castricius / Fausti Ae/dili f(ilius) an(n)o(rum) / VII pater / posuit","Castricius Fausti Aedili filius annorum VII pater posuit",NA,"40.070653","9.087933",NA
"68","EDCS-22500064","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"Geminus L(uci) / Minuci Seve/ri f(ilius) ann(orum) VII hic / sit(us) est","Geminus Luci Minuci Severi filius annorum VII hic situs est",NA,"40.070653","9.087933",NA
"69","EDCS-22500065","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"L(ucius) Lucretius L(uci) l(ibertus) / Pacatus annorum / L hic situs est posu/[i]t Lucretius Secundus / co(n)libertus","Lucius Lucretius Luci libertus Pacatus annorum L hic situs est posuit Lucretius Secundus conlibertus",NA,"40.070653","9.087933",NA
"70","EDCS-22500066","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"Nercadaus / P(ubli) Manli f(ilius) Grae/cini n(epos) anno/rum III m(ensium) VI / h(ic) s(itus) e(st)","Nercadaus Publi Manli filius Graecini nepos annorum III mensium VI hic situs est",NA,"40.070653","9.087933",NA
"71","EDCS-12100504","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"[Dis] Ma[nibus] / Cornelius / Memor / m(iles?) an(norum) LXXXX / h(ic) s(itus) e(st) / p(osuit) M(arcus) Fabius / Faustus","Dis Manibus Cornelius Memor miles annorum LXXXX hic situs est posuit Marcus Fabius Faustus",NA,"40.070653","9.087933",NA
"72","EDCS-12100505","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"L(ucius) Lucretius / Minucii Severi / ann(orum) VII V al(endas) / Sept(embres) periit","Lucius Lucretius Minucii Severi annorum VII V alendas Septembres periit",NA,"40.070653","9.087933",NA
"73","EDCS-12100506","Sardinia","Austis / Vicus Augusti",1,50,"tituli sepulcrales",NA,NA,NA,NA,"Secunda / Secundi l(iberta) / vix(it) an(nos) XXXV / h(ic) s(ita) e(st) / pos(uit) Iucun/dus frater","Secunda Secundi liberta vixit annos XXXV hic sita est posuit Iucundus frater",NA,"40.070653","9.087933","lapis"
"74","EDCS-03700345","Sardinia","Austis / Vicus Augusti",1,100,"tituli sepulcrales",NA,NA,NA,NA,"Cn(aeus) Corunc/anius Faustin/us vix(it) an(nos) XXV / h(ic) s(itus) e(st)","Cnaeus Coruncanius Faustinus vixit annos XXV hic situs est",NA,"40.070653","9.087933",NA
"75","EDCS-14700004","Sardinia","Balai / Turris Libisonis",401,500,"tituli sepulcrales",NA,NA,NA,NA,"Dom(ino) patri merentissi(mo) / Dionisio(!) qui vixit annis LV / m(ensibus) II d(iebus) X Esychius et Val[e]ri/a fili(i) carissimi fecerunt","Domino patri merentissimo Dionisio qui vixit annis LV mensibus II diebus X Esychius et Valeria filii carissimi fecerunt",NA,"40.8405835","8.4167062","musivum"
"76","EDCS-14700005","Sardinia","Balai / Turris Libisonis",301,500,"inscriptiones christianae","tituli sepulcrales",NA,NA,NA,"D(o)m(inae) suae coniugi bon(a)e / femin(a)e Septimiae Musae / qu(a)e vixit ann(os) XXXXVII me(nses) / V di(es) XV refrigeres in / nomen Chr(ist)i in pace","Dominae suae coniugi bonae feminae Septimiae Musae quae vixit annos XXXXVII menses V dies XV refrigeres in nomen Christi in pace",NA,"40.8405835","8.4167062","musivum"
"77","EDCS-70500166","Sardinia","Barumini",201,300,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Afiniae Kassiae Barsani / L(ucius) Kassius Caiolus p(ater) et Afin/ia Valeria m(ater) fili(a)e karissimae / b(ene) m(erenti) f(ecerunt) sibi et posterisq(ue) / vixit an/nis XVIIII hic sita est b(onis) b(ene)","Dis Manibus Afiniae Kassiae Barsani Lucius Kassius Caiolus pater et Afinia Valeria mater filiae karissimae bene merenti fecerunt sibi et posteris que vixit annis XVIIII hic sita est bonis bene",NA,"39.701546","9.002736",NA
"78","EDCS-22400056","Sardinia","Biddaramosa / Vallermosa",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / [6] / VI[3]S / vix(it) annis / XXV me(n)ses / VII Allenia / Urbana fecit / co(n)iugi b(ene) m(erenti)","Dis Manibus VI S vixit annis XXV menses VII Allenia Urbana fecit coniugi bene merenti",NA,"39.364438","8.796337",NA
"79","EDCS-22400057","Sardinia","Biddaramosa / Vallermosa",NA,NA,"tituli operum","tituli sepulcrales",NA,NA,NA,"D(is) M(anibus) / Lutat[ia] Feif(e)n(sis) Mar/co Alenio Sard(o) / tumulum fecit / bene merenti / vixit annis [3]L","Dis Manibus Lutatia Feifensis Marco Alenio Sardo tumulum fecit bene merenti vixit annis L",NA,"39.364438","8.796337",NA
"80","EDCS-22400058","Sardinia","Biddaramosa / Vallermosa",NA,101,"tituli sepulcrales",NA,NA,NA,NA,"to 200;   b:  101 to 200         

 
 
D(is) M(anibus) / Iuli M[3]sal/sufe vix(it) / ann(os) XVII / f[e]c(it) filia b(ene) m(erenti) // D(is) M(anibus) / [3] Iulius Fau/[st]illus vix(it) a/n(n)i[s] LXVI co(n)i/u marito / bene mere(n)/ti","Dis Manibus Iuli M salsufe vixit annos XVII fecit filia bene merenti Dis Manibus Iulius Faustillus vixit annis LXVI coniu marito bene merenti",NA,"39.364438","8.796337",NA
"81","EDCS-22400059","Sardinia","Biddaramosa / Vallermosa",NA,NA,"tituli sepulcrales",NA,NA,NA,NA,"D(is) M(anibus) / Valeriae Amoc/cadae coniug(i) / optimae / L(ucius) Memius Saturni/nus / s(i)b(i) p(osteris)q(ue) s(uis)","Dis Manibus Valeriae Amoccadae coniugi optimae Lucius Memius Saturninus sibi posteris que suis",NA,"39.364438","8.796337",NA
