"","EDCS-ID","province","place","start_yr","end_yr_1","inscr_type1","inscr_type2","inscr_type3","...4","inscription","clean_text_interpretive_word","language","Latitude","Longitude","Material"
"44","EDCS-30000325","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) Ma[rcus] / Aurelius Severus Anto[ninus] / Pius Felix Aug(ustus) Parthicus max(imus) / Britannicus maximus pontifex / max(imus) [trib(unicia)] pot(estate) XVI imp(erator) II / co(n)s(ul) III[I proco(n)]s(ul) / per Furnium [Iulianum] / [leg(atum) Aug(usti) pr(o) pr(aetore) co(n)s(ulem) des(ignatum) mil(ia) [p(assuum)] VIII","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum milia passuum VIII",NA,31.9515694,35.9239625,"lapis"
"45","EDCS-73600362","Arabia","Amman / Philadelphia",194,194,"miliaria",NA,NA,NA,"Imp(erator) Caesar / L(ucius) Septimius Severus / Pertinax Aug(ustus) p(ontifex) m(aximus) / trib(unicia) potest(ate) III / p(ater) p(atriae) imp(erator) IV co(n)s(ul) II / per Ael(ium) Severianum / Maximum IX","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pontifex maximus tribunicia potestate III pater patriae imperator IV consul II per Aelium Severianum Maximum IX",NA,31.9515694,35.9239625,"lapis"
"46","EDCS-31800316","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) Marcus / Aurelius Severus / [Antonin]us Pius / [Felix] Aug(ustus) Parthicus max(imus) / [Brit]annicus maximus / [pon]tifex maximus / [trib(unicia) pot(estate) XII] imp(erator) I[3] / [co(n)s(ul)] proco(n)s(ul) / [per Furnium Iul]ianum / [leg(atum) Aug(usti)] pr(o) pr(aetore) co(n)s(ulem) des(ignatum) / VIIII","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Augustus Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XII imperator I consul proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum VIIII",NA,31.9515694,35.9239625,"lapis"
"47","EDCS-31800317","Arabia","Amman / Philadelphia",361,363,NA,NA,NA,NA,NA,NA,"GR",31.9515694,35.9239625,NA
"48","EDCS-30000326","Arabia","Amman / Philadelphia",162,162,"miliaria",NA,NA,NA,"] / refecerunt per P(ublium) Iul(ium) / Geminium Marcia/num leg(atum) Aug(usti) pr(o) pr(aetore) / XIII //","refecerunt per Publium Iulium Geminium Marcianum legatum Augusti pro praetore XIII","GR",31.9515694,35.9239625,"lapis"
"49","EDCS-31800318","Arabia","Amman / Philadelphia",181,181,"miliaria","tituli sacri",NA,NA,"Imp(eratori) Caes(ari) / divi M(arci) fil(io) divi Pii / nepoti divi Hadri/ani pronep(oti) M(arco) Aur(elio) / [[3]] Anto/[nino","Imperatori Caesari divi Marci filio divi Pii nepoti divi Hadriani pronepoti Marco Aurelio Antonino",NA,31.9515694,35.9239625,"lapis"
"50","EDCS-31500372","Arabia","Amman / Philadelphia",194,194,"miliaria",NA,NA,NA,"[Imp(erator) Cae]sar / [L(ucius) S]e[ptimius S]everus / [P]erti[nax] Au[g(ustus) p(ontifex) m(aximus)] / trib(unicia) potest(ate) II[I] / [p(ater) p(atriae)] imp(erator) IV co(n)s(ul) I[I] / per Ae[l(ium)] Severia[num] / Maximum [l]e[g(atum)","Imperator Caesar Lucius Septimius Severus Pertinax Augustus pontifex maximus tribunicia potestate III pater patriae imperator IV consul II per Aelium Severianum Maximum legatum",NA,31.9515694,35.9239625,"lapis"
"51","EDCS-30000328","Arabia","Amman / Philadelphia",213,213,"miliaria",NA,NA,NA,"Imp(erator) Caes(ar) M(arcus) / Aurelius Severus / Antoninus Pius Felix / Parthicus max(imus) / Britannicus maxim(us) / pontifex maximus / trib(unicia) pot(estate) XVI [imp(erator) II] / co(n)s(ul) IIII p[roco(n)s(ul)] / per Furniu[m Iulianum] / leg(atum) Aug(usti) pr(o) pr(aetore) [co(n)s(ulem) d]es(ignatum) / mil(ia) X","Imperator Caesar Marcus Aurelius Severus Antoninus Pius Felix Parthicus maximus Britannicus maximus pontifex maximus tribunicia potestate XVI imperator II consul IIII proconsul per Furnium Iulianum legatum Augusti pro praetore consulem designatum milia X",NA,31.9515694,35.9239625,"lapis"
"52","EDCS-16600444","Arabia","Amman / Philadelphia",NA,NA,"tituli sacri",NA,NA,NA,"[Salu]ti et Aescul[a]/[pi]o sanctissimis / [d]eis Terentius / Heraclitus b(ene)[f(iciarius)] / Claudi Capito/lini pro inco/lumnitate do/mus divinae et / [prae]sidis sui / [respo]nsoque di[i] / [Iovi]s(?) votum sol/vit","Saluti et Aesculapio sanctissimis deis Terentius Heraclitus beneficiarius Claudi Capitolini pro incolumnitate domus divinae et praesidis sui responso que dii Iovis votum solvit",NA,31.9515694,35.9239625,NA
"53","EDCS-16600445","Arabia","Amman / Philadelphia",NA,NA,"tituli sepulcrales",NA,NA,NA,"D(is) M(anibus) / Ti(berius) Cl(audius) / Ant[on]inus / mil[es le]g(ionis) III Cyr(enaicae) / do[mo H]ierap(oli) / mil(itavit) ann(os) XVII","Dis Manibus Tiberius Claudius Antoninus miles legionis III Cyrenaicae domo Hierapoli militavit annos XVII",NA,31.9515694,35.9239625,NA
"54","EDCS-73600090","Arabia","Amman / Philadelphia",114,114,"miliaria","tituli operum",NA,NA,"] a finib[u]s Syr[iae] usque ad mare [rubrum aperuit et] stravit [per C(aium) Claud]ium Severum [leg(atum)] Aug(usti) pro pr(aetore) [m(ilia) p(assuum)] CLXXXII","a finibus Syriae us que ad mare rubrum aperuit et stravit per Caium Claudium Severum legatum Augusti pro praetore milia passuum CLXXXII",NA,31.9515694,35.9239625,"lapis"
"55","EDCS-73600091","Arabia","Amman / Philadelphia",193,193,"miliaria",NA,NA,NA,"Imp(erator) Caes[ar P(ublius) Helvius] Pertinax [3] Caesar [","Imperator Caesar Publius Helvius Pertinax Caesar",NA,31.9515694,35.9239625,"lapis"
"56","EDCS-73600092","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"57","EDCS-73600093","Arabia","Amman / Philadelphia",NA,NA,"miliaria",NA,NA,NA,"?","",NA,31.9515694,35.9239625,"lapis"
"58","EDCS-73600096","Arabia","Amman / Philadelphia",NA,162,"miliaria","tituli sacri",NA,NA,"to 162;   b:  292 to 305         

 
 
Imp(erator) Caesar M(arcus) Aurelius Antoninus Aug(ustus) Pius pontifex max(imus) trib(unicia) potest(ate) XVI co(n)s(ul) III et Imp(erator) Caesar L(ucius) Aurelius Verus Aug(ustus) trib(unicia) potest(ate) II co(n)s(ul) II divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes refecerunt per P(ublium) Iulium Geminium Marcianum leg(atum) Augustorum pr(o) pr(aetore) // ] Val(erio) Con[stantio 3] nob(ilissimis) Caes(aribus)","Imperator Caesar Marcus Aurelius Antoninus Augustus Pius pontifex maximus tribunicia potestate XVI consul III et Imperator Caesar Lucius Aurelius Verus Augustus tribunicia potestate II consul II divi Antonini filii divi Hadriani nepotes divi Traiani Parthici pronepotes refecerunt per Publium Iulium Geminium Marcianum legatum Augustorum pro praetore Valerio Constantio nobilissimis Caesaribus",NA,31.9515694,35.9239625,"lapis"
